baseDate,sido,firstCnt,secondCnt,totalFirstCnt,totalSecondCnt,accumulatedFirstCnt,accumulatedSecondCnt,id,thirdCnt,totalThirdCnt,accumulatedThirdCnt
2022-11-03 00:00:00,인천광역시,6.0,13.0,2573815,2549671.0,2573809,2549658.0,10091,94.0,1914350.0,1914256.0
2022-11-03 00:00:00,대구광역시,7.0,3.0,2018639,1995829.0,2018632,1995826.0,10090,68.0,1404883.0,1404815.0
2022-11-03 00:00:00,부산광역시,12.0,15.0,2879842,2851292.0,2879830,2851277.0,10089,172.0,2140060.0,2139888.0
2022-11-03 00:00:00,전국,186.0,204.0,45121694,44691618.0,45121508,44691414.0,10087,1915.0,33661417.0,33659502.0
2022-11-03 00:00:00,세종특별자치시,2.0,2.0,300447,296744.0,300445,296742.0,10095,11.0,210965.0,210954.0
2022-11-03 00:00:00,경기도,51.0,58.0,11836389,11722435.0,11836338,11722377.0,10096,512.0,8704402.0,8703890.0
2022-11-03 00:00:00,강원도,9.0,7.0,1351866,1340650.0,1351857,1340643.0,10097,51.0,1064822.0,1064771.0
2022-11-03 00:00:00,서울특별시,40.0,28.0,8335936,8258320.0,8335896,8258292.0,10088,532.0,6074341.0,6073809.0
2022-11-03 00:00:00,제주특별자치도,6.0,3.0,590985,585360.0,590979,585357.0,10104,33.0,438958.0,438925.0
2022-11-03 00:00:00,경상남도,9.0,18.0,2882880,2853821.0,2882871,2853803.0,10103,102.0,2145293.0,2145191.0
2022-11-03 00:00:00,경상북도,11.0,11.0,2293283,2269635.0,2293272,2269624.0,10102,93.0,1726988.0,1726895.0
2022-11-03 00:00:00,전라남도,5.0,10.0,1655524,1641245.0,1655519,1641235.0,10101,14.0,1365036.0,1365022.0
2022-11-03 00:00:00,전라북도,7.0,11.0,1593933,1581076.0,1593926,1581065.0,10100,29.0,1285633.0,1285604.0
2022-11-03 00:00:00,충청남도,9.0,5.0,1901711,1884283.0,1901702,1884278.0,10099,54.0,1479288.0,1479234.0
2022-11-03 00:00:00,충청북도,6.0,7.0,1430740,1418299.0,1430734,1418292.0,10098,47.0,1108253.0,1108206.0
2022-11-02 00:00:00,울산광역시,2.0,0.0,968242,958999.0,968240,958999.0,10076,34.0,720387.0,720353.0
2022-11-02 00:00:00,광주광역시,6.0,3.0,1262034,1250605.0,1262028,1250602.0,10075,34.0,968824.0,968790.0
